"","","Index value","Global rank","population age 60+ ('000000) in 2015","share of people 60+, 2015","share of people 60+, 2030","share of people 60+, 2050","I. INCOME SECURITY INDEX Value","I. INCOME SECURITY INDEX Rank","Pension income coverage","Poverty rate (relative definition) in old age","Relative welfare of the elderly","GNI per capita","II. HEALTH STATUS INDEX Value","II. HEALTH STATUS INDEX Rank","LE60","HALE60","Mental well-being (relative)","III. CAPABILITY Index Value","III. CAPABILITY Index Rank","Education","Employment","IV. ENABLING ENVIRONMENT Index Value","IV. ENABLING ENVRIONMENT Index Rank","Social Connectedness","Safe Walking Alone","Freedom in Your Life","Public transport","National policy on ageing","Region","Regional average Income security","Regional average Health status","Regional average Capability","Regional average Enabling environment"
"63","Nicaragua","46.013111188675929","57",0.472736,7.77266545128339,12.4844294927765,23.3740533275407,"38.296321702008932","76","23.7","16.5","103.44629270000001",4234.18913594522,"56.988020935383638","45",21,15.753,"97.959183673469383","26.041773364018322","68","13.766489028213163",62.2,"70.566553983449865","33","80","54","82","70","no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"64","Nigeria","25.307145140533002","86",8.158284,4.47760491185051,4.76943891511406,6.33920442351097,"17.700561583629575","90","5","15.7","105.995273",5018.00467073943,"25.903464497184203","88",16,14.356,"102.15053763440861","32.30030858613226","49","17.361552100381889",70.5,"58.272510653004588","75","74","70","53","42","pending","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"65","Norway","89.274845233936745","2",1.133655,21.7551751910922,26.2214846726699,29.4861321328168,"89.370534931710381","2","100","1.8","99",64241.5090342557,"73.538856524726867","16",24,17.415,"98.876404494382015","76.340600850463304","1","98.297040618955506",71.1,"80.091592582383399","4","89","86","96","56.000000000000007","no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"66","Pakistan","12.724243844855758","92",12.475951,6.60365717644994,8.43994671032076,12.9085723506565,"6.4029895115389603","95","2.2999999999999998","1.7999999999999998","103.9227178",4557.3065177807,"31.784853844771263","78",17,13.833,"96","25.830878931498617","70","15.811101159611576",56.2,"56.04621417129021","81","60","65","46","55.000000000000007","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"67","Panama","67.674365422227837","20",0.430206,10.9491107598327,16.1637909846139,23.5320959108121,"72.352127175509182","40","77","17.7","114.42029279999998",16329.8475919967,"68.686322333302485","31",23,17.299,"95.959595959595958","56.379553916517814","16","33.038333333333334",98.3,"66.363379145057436","48","88","45","79","62","yes","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"68","Paraguay","38.873988654589169","69",0.597891,9.00557197087627,12.0071289822627,18.3122840719461,"35.865548218240662","79","22.2","24.7","97.249081400000009",6577.54306444246,"54.41285663193036","50",21,14.704,"102.22222222222221","30.608555527197193","54","18.946715328467153",65.2,"57.520810841103952","77","93","33","87","41","pending","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"69","Peru","49.700735239948379","48",3.1272,9.96664081943686,14.6756615708193,23.1702195923365,"50.487566682510284","68","41.93","25.4","108.28126060000001",10221.0752105901,"68.143918910319698","32",23,17.031,"96.907216494845358","44.285726092369522","30","30.435975039001562",75.5,"56.938476705428577","79","75","44","65","49","yes ","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"70","Philippines","48.838234294069821","50",7.32065,7.26980534490798,10.2621681821614,14.0152664285893,"44.160014480899605","73","28.299999999999997","13.700000000000001","102.6988851",7165.62712343373,"31.945560459623263","76",17,13.971,"94.897959183673478","43.534528783619017","31","36.813831652058873",66,"77.313543724293226","15","76","70","92","73","yes","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"71","Poland","57.410442070916915","32",8.752553,22.6680816747339,28.6417495232653,39.3467464691239,"77.604292969668975","26","96.5","8.6","89.330345700000009",21294.2814140361,"55.293233751834997","48",21,16.163,"89.010989010989007","31.126083965959531","52","59.584172642029785",40.6,"69.198454073827875","37","87","64","71","57.999999999999993","no information","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"72","Portugal","52.893755060895849","38",2.801209,27.0653364126834,34.6674053291573,41.1601369424505,"82.059644362515115","11","100","7.8","96",25056.74778863,"70.695738321435599","23",24,17.605,"90.526315789473685","19.528985465771623","83","15.721521739130434",46.9,"65.371008058630125","51","80","53","73","59","no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"73","Romania","50.826620140441435","45",4.762809,24.4104859311444,29.806739723738,36.3743548492739,"78.418920225757219","22","98","6.4","90.906253899999996",17051.6757997896,"44.876532720233058","64",20,14.96,"81.25","34.105152654929711","46","66.305096668996043",41.5,"62.040413122913328","64","75","54","59","62","no information","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"74","Russian Federation","41.764544537522951","65",28.73015,20.0270230258258,23.9686596301775,28.7638238475707,"76.173593314811157","30","100","9.6999999999999993","83",22487.4698802525,"27.058747843546158","86",17,13.819,"76.19047619047619","48.432621776525195","25","79.079249399519611",50.1,"55.534552979746906","82","82","37","55.000000000000007","56.999999999999993","yes","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"75","Rwanda","22.709446815301515","89",0.527208,4.54111255224741,6.26766555581608,12.0422538501827,"11.96381244332918","93","4.7","19.900000000000002","80.3140176",1386.1782840172,"29.99688783095619","81",18,13.279,"75.280898876404493","13.77266217995205","90","2.8048648648648653",91.8,"78.18768441948103","13","78","84","92","62","pending","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"76","Serbia","41.695727722566097","66",2.163177,24.4399854253345,27.2229905089353,32.2977548559665,"65.827013071241183","49","81","13.600000000000001","83.058226899999994",12147.0632490162,"45.316076642521253","62",19,15.656,"87.951807228915655","21.203334611101763","80","60.50535348610434",34.3,"60.199007707186979","67","76","64","54","50","yes ","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"77","Slovakia","52.080092385104507","40",1.114122,20.532049895158,26.3563109567463,36.247581714738,"78.654669022738204","21","100","7.1","85.416147499999994",25405.1269633015,"51.4160650998001","53",21,15.196,"86.956521739130437","45.638553599686048","28","98.599411764705891",44,"56.813838650443742","80","87","52","49","47","yes ","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"78","Slovenia","60.647711663193419","26",0.520627,25.1811585440764,32.7326088734968,38.9753632584373,"77.70654982534974","25","95.1","9.8000000000000007","89",27691.080806382,"63.249437898654456","38",23,17.256,"84.05797101449275","23.853103394407597","79","89.842511312217198",33.5,"79.168372039952203","7","88","75","93","64","yes ","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"79","South Africa","34.963983619711698","78",4.208782,7.72389546886474,10.465824497162,15.3503181758967,"79.526182903863102","19","92.600000000000009","12.170999999999999",NA,11764.091525006,"25.899573410824214","89",16,14.645,"97.916666666666657","25.940031584651436","69","47.210223507757036",39.2,"55.029348401686541","83","83","31","66","54","yes ","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"80","Spain","61.710493803700381","25",11.245801,24.3828853746259,33.4525567407121,41.3612507998408,"73.367731932735936","37","68.2","7.1","104",31642.6054650742,"80.458033011209338","3",25,18.937,"95.402298850574709","23.957745074297044","78","29.197786710084461",43.2,"74.701916517553826","22","86","68","75","71","no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"81","Sri Lanka","49.812338154780342","46",2.887161,13.9375312876991,21.0060827585028,28.5616884016004,"36.157177846462858","78","17.100000000000001","11.3","101.0466799",8674.88848959925,"50.03237053442917","54",20,16.174,"85.263157894736835","40.064487553514255","36","53.830900692840643",50.3,"72.851842011150922","25","79","71","81","62","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"82","Sweden","84.436168558004539","3",2.497488,25.5381859835127,28.5564772527788,29.5733898335615,"83.483099687827433","7","100","5.3","90",45127.3815949948,"75.241028129635041","12",24,18.175,"96.666666666666671","65.580903886993596","5","68.687259387138539",73.6,"79.375873808361717","6","89","73","94","65","yes ","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"83","Switzerland","90.093766099240327","1",1.95529,23.561506232992,30.6254579614435,34.5449123085083,"77.349131462785053","27","100","16.100000000000001","84",54762.2401040829,"81.274478663898989","2",25,19.035,"96.511627906976756","75.029767157139943","2","93.649470387243753",71.7,"83.738488656367252","1","91","70","93","83","no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"84","Tajikistan","45.092076613120732","58",0.425336,5.014657760596,8.63329110383817,13.2009543092964,"60.161612971132918","57","80.2","8.6999999999999993","97.099039899999994",2304.849443033,"31.118073632735161","80",17,13.753,"93.478260869565219","41.469954892943456","33","79.432492836676232",44.4,"63.061018804662972","61","68","80","56.999999999999993","51","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"85","United Republic of Tanzania","15.855807736456576","91",2.551505,4.77180654275766,5.17567149160712,7.24989360190659,"9.2529015263055445","94","3.2","16.7","85.303333199999997",1611.44062504147,"39.794160893233688","69",18,14.218,"102.22222222222221","13.811626533604791","89","3.0678212538906182",85.8,"54.496065974889937","88","82","51","56.999999999999993","37","yes ","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"86","Thailand","56.01962036070244","34",10.730513,15.7896030184746,26.8931677571586,37.073759836139,"59.289649988141186","59","81.699999999999989","28.000000000000004","81.305579699999996",13199.1578541854,"59.095085717928086","41",21,16.73,"94.73684210526315","25.795994259737256","71","11.791027269331341",71.3,"78.192334769722549","12","90","75","71","78","yes ","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"87","Turkey","36.308899716884923","75",8.828134,11.2223235933569,16.9987695535628,26.6442604938113,"73.6386022221388","35","88.1","14.099999999999998","95.042908499999996",17983.4776294932,"52.495439222771317","52",21,15.619,"86.206896551724128","7.0368798071689636","93","14.664579244721976",31.5,"67.609097360717442","40","81","70","55.000000000000007","67","yes ","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"88","Uganda","23.130173080839153","88",1.473967,3.7762670037338,3.70920712397785,6.04719518318601,"15.045404381902371","92","6.6","20.7","87.066697599999998",1300.28575361735,"22.095590573522397","92",16,12.899,"95.918367346938766","34.352934958009079","45","14.250861931364724",90.4,"58.903648025841576","70","76","48","66","50","yes ","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"89","Ukraine","36.996253626362034","73",10.117913,22.5726531450448,25.6799300505803,31.4560971141086,"70.900095717019695","42","95","8.4","84.541632800000002",8561.46124396457,"27.270186088896534","85",18,13.813,"67.5","34.802479382769135","44","83.60691253055586",39.3,"54.758557548682589","85","81","37","50","60","no information","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"90","United Kingdom","79.195005982428214","10",14.888854,23.0065172637104,27.8428191612682,30.7307222629772,"81.462697414867037","14","100","9.3000000000000007","91",37052.7757014779,"69.261390274490651","27",24,17.708,"86.904761904761912","53.571244200476336","20","66.393189318280506",59.8,"81.810935757747316","3","94","70","92","74","yes ","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"91","United States of America","79.269424075650036","9",66.544663,20.6805830525,26.1144903567753,27.8569535643713,"76.294822152945841","29","92.5","18.812799999999999","92.212506366931706",51484.2546211159,"70.062901172289131","25",23,17.498,"97.872340425531917","65.675716393965828","4","96.029332423619479",60.9,"76.782861738160435","17","94","71","84","62","no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"92","Uruguay","59.833087669438775","27",0.656815,19.1404479893226,22.1355632588492,27.517752390188,"83.175274667896772","8","92.7","8.3000000000000007","116.4707263",17668.4886322425,"63.293200465490486","37",22,16.664,"96.590909090909093","37.893298334756913","38","30.475118483412317",63,"63.530753085779047","57","89","40","88","52","yes ","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"93","Venezuela (Bolivarian Republic of)","35.910483729327296","76",2.924571,9.40132183651432,14.8380414969403,21.8875091825635,"50.552909567613085","66","54.2","38","111.9224177",17165.6784461515,"69.100938737324739","29",23,16.889,"101.01010101010101","31.576528108225901","51","26.262519531250007",56.5,"49.541775300933338","93","91","17","66","59","no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"94","Viet Nam","51.789930263157743","41",9.613327,10.2873983891786,17.5109161162875,27.8683354363503,"48.136772287262794","70","43.8","16.8","91.892176899999995",4709.04433472053,"63.93563622933771","36",22,16.717,"97.959183673469383","27.348789606380301","65","12.603648424543948",73.3,"71.320428924391535","31","73","64","78","71","yes","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"95","West Bank and Gaza","12.301947837366004","93",0.210514,4.50927563786477,6.2187092558812,10.3531743632317,"24.72681884943043","81","8","9.3000000000000007","109.5189108",5211.44642198289,"36.637660839669607","73",18,14.581,"84.415584415584405","1.8376011118312368","96","12.603648424543948",29.2,"62.296240356096291","63","68","73","41","74","yes ","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"96","Zambia","22.291930504632344","90",0.689723,4.25445912219192,4.13451955951323,6.5837375110866,"18.753256363315021","89","7.7","22.900000000000002","78.330694899999997",3631.65085639478,"24.744606949165735","91",17,12.176,"83.838383838383834","26.159520060384086","67","10.032040133779265",80.7,"54.771847996948303","84","73","34","74","49","yes","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"97","Angola",NA,NA,0.959152,3.83323873648018,4.19716324777226,5.5129298920702,NA,NA,NA,NA,NA,6354.739600839,NA,NA,16,12.7,"101.19047619047601",NA,NA,NA,71.1999969482422,NA,NA,"67","63","36","38","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"98","Bahamas",NA,NA,0.04866,12.5406230107289,20.1022073926576,27.1382083870572,NA,NA,NA,NA,NA,22098.2371847545,NA,NA,21,18.3,NA,NA,NA,NA,69.9000015258789,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"99","Barbados",NA,NA,0.056337,19.8219657653537,27.7445261004622,31.092696539457,NA,NA,NA,NA,NA,14927.2989053741,NA,NA,23,16.2,NA,NA,NA,"78.364750000000001",66.8,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"100","Belize",NA,NA,0.021337,5.93870638236285,8.91441894971119,14.6937616186218,NA,NA,NA,NA,NA,7663.13180111061,NA,NA,21,14.1,"103.48837209302326",NA,NA,"77.638333333333335",57.2,NA,NA,NA,NA,NA,NA,"yes","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"101","Brunei Darussalam",NA,NA,0.032291,7.63041485108273,17.0821921676031,30.94558601437,NA,NA,NA,NA,NA,NA,NA,NA,21,16.2,NA,NA,NA,"42.541666666666664",36,NA,NA,NA,NA,NA,NA,"pending","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"102","Burkina Faso",NA,NA,0.691906,3.82150907151777,4.40645159585331,6.39389140769573,NA,NA,NA,NA,NA,1526.99039586208,NA,NA,15,12.8,"94.623655913978496",NA,NA,NA,79.5,NA,NA,"73","56.999999999999993","85","49","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"103","Cape Verde",NA,NA,0.034746,6.6754786725123,10.3742218967411,20.4886404462914,NA,NA,NA,NA,NA,5962.42647353236,NA,NA,20,16.4,NA,NA,NA,NA,55.7000007629395,NA,NA,NA,NA,NA,NA,"no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"104","Chad",NA,NA,0.555331,3.95606131930308,3.95126968335218,5.36738165849537,NA,NA,NA,NA,NA,1847.03965496241,NA,NA,15,12.7,"103.5294117647059",NA,NA,NA,81.6999969482422,NA,NA,"65","44","51","38","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"105","Comoros",NA,NA,0.036257,4.59837610371426,6.01508627067981,9.23067500101527,NA,NA,NA,NA,NA,1432.35194843002,NA,NA,16,12.2,NA,NA,NA,NA,63.9000015258789,NA,NA,"73","74","56.999999999999993","44","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"106","Dem. People's Rep. of Korea",NA,NA,3.149229,12.5191385980149,19.4042350123396,24.3686592484022,NA,NA,NA,NA,NA,NA,NA,NA,17,14.4,NA,NA,NA,NA,79.5999984741211,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"107","Equatorial Guinea",NA,NA,0.043157,5.10697465268739,8.45892947580388,9.21567677497283,NA,NA,NA,NA,NA,22105.528575674,NA,NA,16,13.8,NA,NA,NA,NA,90.5999984741211,NA,NA,NA,NA,NA,NA,"no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"108","Eritrea",NA,NA,0.218486,4.17931780363829,4.64234165323423,9.19806866936316,NA,NA,NA,NA,NA,1128.93543770124,NA,NA,15,11.4,NA,NA,NA,NA,79.6999969482422,NA,NA,NA,NA,NA,NA,"no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"109","Ethiopia",NA,NA,5.204822,5.23672675777172,6.12014485647508,10.360739870963,NA,NA,NA,NA,NA,1168.73892172153,NA,NA,18,12.2,NA,NA,NA,NA,77.1,NA,NA,"50","67","65","42","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"110","Fiji",NA,NA,0.082555,9.2535406240017,14.290729216531,19.8806847151513,NA,NA,NA,NA,NA,7001.54179472355,NA,NA,17,12.3,NA,NA,NA,"24.343692307692312",45.9000015258789,NA,NA,NA,NA,NA,NA,"yes","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"111","Gambia",NA,NA,0.074294,3.73163415579902,4.37148737306232,5.88650843535205,NA,NA,NA,NA,NA,1536.09883565606,NA,NA,17,13.6,NA,NA,NA,"9.9740740740740748",57.1,NA,NA,NA,NA,NA,NA,"no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"112","Grenada",NA,NA,0.010859,10.1652234963726,14.2973018745153,25.1490269019643,NA,NA,NA,NA,NA,10763.065691475,NA,NA,19,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"113","Guinea",NA,NA,0.64272,5.09747719610202,5.55638572916787,7.57695618993733,NA,NA,NA,NA,NA,1135.02439380704,NA,NA,16,12.9,"100",NA,NA,NA,75.6,NA,NA,"55.000000000000007","56.999999999999993","74","16","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"114","Guinea-Bissau",NA,NA,0.097749,5.29998780041478,5.73959168121724,8.28748178330309,NA,NA,NA,NA,NA,1455.88264695341,NA,NA,15,12.3,NA,NA,NA,NA,73.0999984741211,NA,NA,NA,NA,NA,NA,"no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"115","Guyana",NA,NA,0.063709,8.30533773962468,14.8955892168948,13.7764617185485,NA,NA,NA,NA,NA,5787.31334325591,NA,NA,15,11.9,"105.43478260869566",NA,NA,"29.541904761904757",60.7000007629395,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"116","Haiti",NA,NA,0.75526,7.05121161131753,9.28343888405385,15.3106769053921,NA,NA,NA,NA,NA,1618.87754963144,NA,NA,17,8.3,"82.926829268292693",NA,NA,"9.592816901408451",77,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"117","Iran (Islamic Republic of)",NA,NA,6.501562,8.21845762908803,14.3967103524876,31.1801326319033,NA,NA,NA,NA,NA,NA,NA,NA,20,15.3,"83.908045977011497",NA,NA,"35.494121093750003",29.8,NA,NA,"55.000000000000007","65","59","71","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"118","Lebanon",NA,NA,0.670312,11.4568696659552,19.1601372268964,30.7586880552998,NA,NA,NA,NA,NA,16783.7495075701,NA,NA,22,16.5,"104.93827160493827",NA,NA,NA,44.0999984741211,NA,NA,"59","53","73","51","pending","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"119","Madagascar",NA,NA,1.128414,4.65605876365101,5.81397324531325,8.23113177134989,NA,NA,NA,NA,NA,1334.42408355091,NA,NA,17,12.3,"90.816326530612244",NA,NA,NA,87.9,NA,NA,"64","43","50","39","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"120","Micronesia (Fed. States of)",NA,NA,0.007864,7.5282404748229,9.10056867928698,12.2218089393094,NA,NA,NA,NA,NA,3537.17562639891,NA,NA,17,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"121","Oman",NA,NA,0.195615,4.35615664125993,9.43731408451161,24.5377343072838,NA,NA,NA,NA,NA,39439.4949885173,NA,NA,20,15.4,NA,NA,NA,NA,38.5,NA,NA,NA,NA,"92",NA,"yes","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"122","Papua New Guinea",NA,NA,0.386521,5.0729061027879,6.66793346693403,9.98480409594567,NA,NA,NA,NA,NA,2182.85482530699,NA,NA,15,NA,NA,NA,NA,"7.3155514705882343",73.5999984741211,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"123","Saint Lucia",NA,NA,0.023201,12.541148871075,19.0700461559795,27.3489665561044,NA,NA,NA,NA,NA,10372.4587601643,NA,NA,21,14.9,NA,NA,NA,NA,62.2999992370605,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"124","Samoa",NA,NA,0.015263,7.89895874303931,12.0612732637421,14.061467489558,NA,NA,NA,NA,NA,5450.89548711185,NA,NA,19,13.7,NA,NA,NA,NA,26.5,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"125","Sao Tome and Principe",NA,NA,0.008451,4.43985626024461,5.79662631040754,9.6004870037941,NA,NA,NA,NA,NA,2796.4866025377,NA,NA,18,NA,NA,NA,NA,NA,57.5999984741211,NA,NA,NA,NA,NA,NA,"no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"126","Solomon Islands",NA,NA,0.030193,5.17365757868096,6.88435525149268,10.7725014861611,NA,NA,NA,NA,NA,1537.70262278752,NA,NA,17,10.3,NA,NA,NA,NA,62.2000007629395,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"127","Somalia",NA,NA,0.481543,4.4640619020638,4.45992002947176,5.18134605765121,NA,NA,NA,NA,NA,NA,NA,NA,16,10.8,NA,NA,NA,NA,51.2999992370605,NA,NA,NA,NA,NA,NA,"no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"128","St. Vincent and the Grenadines",NA,NA,0.011976,10.9407831028119,18.3146488628655,25.6216830585065,NA,NA,NA,NA,NA,9685.32203364414,NA,NA,21,14.5,NA,NA,NA,NA,57.2000007629395,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"129","Suriname",NA,NA,0.055613,10.2422763478982,15.7221255387347,21.3751313126137,NA,NA,NA,NA,NA,14671.4726831198,NA,NA,23,15.6,NA,NA,NA,NA,44.2,NA,NA,"74","61","91","68","no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"130","TFYR Macedonia",NA,NA,0.384929,18.5199761553425,24.7809845303485,32.7890890362959,NA,NA,NA,NA,NA,11234.5681679921,NA,NA,19,14.5,"95.50561797752809",NA,NA,NA,38.6,NA,NA,"74","63","60","56.999999999999993","yes ","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"131","Timor-Leste",NA,NA,0.085226,7.19349406844395,6.83637899671966,8.05925906737189,NA,NA,NA,"5.5","97.3",21390.8272383944,NA,NA,17,13.6,NA,NA,NA,NA,54.0999984741211,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"132","Tonga",NA,NA,0.00866,8.15672977300556,10.5390045068929,12.927419239412,NA,NA,NA,NA,NA,5211.02170914699,NA,NA,18,13.7,NA,NA,NA,"67.952222222222218",72.8000030517578,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"133","Turkmenistan",NA,NA,0.368698,6.86140993341028,11.3661062725887,18.2392335796768,NA,NA,NA,NA,NA,10055.3101626394,NA,NA,16,13.5,"95.78947368421052",NA,NA,NA,50.2000007629395,NA,NA,"72","66","51","72","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"134","Uzbekistan",NA,NA,2.217685,7.418622410339,11.7875877423203,19.0857879803416,NA,NA,NA,NA,NA,4821.2907638652,NA,NA,17,13.7,"93.877551020408163",NA,NA,NA,51.0999984741211,NA,NA,"92","86","92","89","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"135","Vanuatu",NA,NA,0.017126,6.4711394586098,9.06876786787719,14.1919492407344,NA,NA,NA,NA,NA,2722.4098151272,NA,NA,18,11.3,NA,NA,NA,NA,74.0999984741211,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"136","Cote d'Ivoire",NA,NA,1.100464,4.84752675102975,5.10848189191285,6.54378443794932,NA,NA,NA,NA,NA,2827.1643472953,NA,NA,16,12.3,"98.98989898989899",NA,NA,"8.0423069852941182",72.6999969482422,NA,NA,"70","65","74","23","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"137","Bhutan",NA,NA,0.05697,7.35258056605965,11.5549189644333,24.5472574390413,NA,NA,NA,"11.2","89.1",6583.45124780732,NA,NA,19,14.6,NA,NA,NA,NA,69.2,NA,NA,"79","59","77","80","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"138","Bosnia and Herzegovina",NA,NA,0.852552,22.3742499506616,30.6109123784119,40.5317173602616,NA,NA,NA,"25.5","78.099999999999994",9233.28416645809,NA,NA,21,15.5,"83.333333333333343",NA,NA,NA,30.2000007629395,NA,NA,"73","69","34","42","no information","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
