"","","Index value","Global rank","population age 60+ ('000000) in 2015","share of people 60+, 2015","share of people 60+, 2030","share of people 60+, 2050","I. INCOME SECURITY INDEX Value","I. INCOME SECURITY INDEX Rank","Pension income coverage","Poverty rate (relative definition) in old age","Relative welfare of the elderly","GNI per capita","II. HEALTH STATUS INDEX Value","II. HEALTH STATUS INDEX Rank","LE60","HALE60","Mental well-being (relative)","III. CAPABILITY Index Value","III. CAPABILITY Index Rank","Education","Employment","IV. ENABLING ENVIRONMENT Index Value","IV. ENABLING ENVRIONMENT Index Rank","Social Connectedness","Safe Walking Alone","Freedom in Your Life","Public transport","National policy on ageing","Region","Regional average Income security","Regional average Health status","Regional average Capability","Regional average Enabling environment"
"15","Chile","66.267240786070928","21",2.817708,15.6991634955397,23.7033056758281,32.8689159626188,"70.81968595924468","43","83","15.2","91.391600299999993",20180.5997848162,"74.373382482959826","14",24,17.922,"96.590909090909093","49.524376831832932","22","48.205539280958725",65.4,"66.02152368152278","49","79","50","74","65","yes","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"16","China","48.685254824985385","52",209.239549,15.205821716183,25.3008952327213,36.4623511689604,"39.192141161980551","75","74.400000000000006","23.9","50",10727.2792452246,"46.523590192981068","58",19,16.792,NA,"37.775525266657056","39","30.095241331541523",59.6,"71.759065321441724","28","63","78","76","71","yes ","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"17","Colombia","54.290281574757969","36",5.226155,10.8361920735005,18.2806493232491,27.6169280198226,"48.332292149612641","69","30.9","20.100000000000001","121.92687049999999",11167.424261806,"72.83756090721387","18",25,16.481,"97.979797979797979","33.011014958184617","47","28.041291934332619",57.1,"67.475061476138151","42","86","44","83","66","yes ","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"18","Costa Rica","59.61015137234174","28",0.613416,12.7586343167944,20.5290938633521,30.3659933461438,"64.580978243709779","52","55.800000000000004","14.6","120.21626549999999",12920.1200474768,"73.777915863082924","15",23,18.409,"100","29.169094541020744","60","25.487808219178078",53.2,"71.567164520455947","29","86","40","93","82","yes","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"19","Croatia","43.972839848003609","61",1.100202,25.9462205302104,30.9955933975652,36.8160917211903,"50.498401045974731","67","57.599999999999994","24.9","70.714985900000002",19580.4730932815,"55.276974048215614","49",21,15.644,"93.670886075949369","29.978128568131243","56","72.700242763772181",37.8,"58.884103078263948","72","70","71","59","41","no information","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"20","Cyprus","58.241564088048115","30",0.209438,17.9728825195229,23.7444067243901,33.1761021990485,"71.709470188903623","41","80","8","84",30797.0962508366,"70.682158662188058","24",24,17.422,"91.83673469387756","34.827229593616465","43","42.212437499999993",49.6,"63.830604591387626","55","61","68","69","57.999999999999993","yes","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"21","Czech Republic","65.628123886389204","22",2.63027,24.947582258342,28.9350673335369,36.9547729898767,"81.764882262792284","12","100","1.7","88",26406.7742614393,"56.087701047005808","47",21,16.146,"91.304347826086953","56.370349107828631","17","99.828973042361994",51.6,"65.816731173657814","50","86","57.999999999999993","66","56.999999999999993","yes ","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"22","Denmark","78.601811059966721","11",1.400612,24.706156077149,29.3813019673899,29.9250078541807,"80.920193809551421","16","100","3.1","82",43424.3623080605,"68.137975963656828","33",23,16.822,"98.888888888888886","59.889235126723513","11","78.031667977970116",61.7,"77.687475829270383","14","94","78","92","54","no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"23","Dominican Republic","43.740311735538654","62",1.022798,9.71466580221042,14.2474910577372,21.0568526190204,"30.080643459293508","80","11.1","17","111.8077242",10994.6274296997,"60.983659643101682","39",23,15.456,"92.783505154639172","29.947796747738956","57","24.206343115124152",55.9,"67.276574125815003","43","84","40","91","67","no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"24","Ecuador","50.893450237619255","44",1.602407,9.92548916299764,14.5172477442108,21.8360723042432,"62.547316907594976","56","73","25.4","103.58063740000001",10081.7064863685,"69.243875014086413","28",22,18.297,"98.969072164948457","25.081261543904649","72","12.402189892802451",66.9,"63.380128603610672","58","69","46","82","62","no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
